variable,coefficient,std_err,stat,p_value,ci_lower,ci_upper
Intercept,6.163577070145276e-06,1.913792245646507e-06,3.220609281998177,0.0012834031745249472,2.4121448511555423e-06,9.91500928913501e-06
C(sector_fe)[T.Biotech/Healthcare],4.548690232012953e-06,1.2712367683798892e-06,3.5781613190829678,0.00034770825794732313,2.0568008528428114e-06,7.040579611183095e-06
C(sector_fe)[T.Consumer Software],-3.395154154216532e-06,1.8981108161953874e-06,-1.788701758215492,0.07369407109834707,-7.115847498693337e-06,3.255391902602722e-07
C(sector_fe)[T.Data/Analytics],-2.5164172935350136e-06,3.2299076966845023e-06,-0.7790988256779332,0.43594051800185374,-8.847710476098796e-06,3.814875889028769e-06
C(sector_fe)[T.Enterprise Software],-2.3923305816176304e-06,2.032498680360069e-06,-1.17703918075549,0.23920876407993638,-6.37645218724213e-06,1.5917910240068692e-06
C(sector_fe)[T.FinTech],8.807820975110946e-07,2.159533297175732e-06,0.4078576138015532,0.6833872188837733,-3.3523538697994116e-06,5.1139180648216005e-06
C(sector_fe)[T.Hardware/Robotics],-2.0187719018155865e-06,1.7042437382013442e-06,-1.184555856984515,0.236222137037031,-5.359445312444993e-06,1.32190150881382e-06
C(sector_fe)[T.Other],-9.854839755683482e-07,9.78902519949817e-07,-1.006723300312751,0.314092886714097,-2.9043372162707797e-06,9.333692651340832e-07
C(founding_cohort)[T.2010-14],4.3334456097181235e-07,1.9314574993597096e-06,0.22436142711681142,0.8224808102645659,-3.3527152421180697e-06,4.2194043640616944e-06
C(founding_cohort)[T.2015-18],2.165541268848445e-06,1.8230371397784374e-06,1.1878755630352291,0.2349115385145803,-1.4079920016186458e-06,5.739074539315536e-06
C(founding_cohort)[T.2019-20],3.7063346016647727e-06,1.935918008345174e-06,1.9145101113207545,0.05558440971620307,-8.846872996600978e-08,7.501137933295555e-06
C(founding_cohort)[T.2021],1.3681278036709682e-05,2.709239140238953e-06,5.0498598789263776,4.5017986770088617e-07,8.37060389077747e-06,1.8991952182641892e-05
z_vagueness,-5.555983953852803e-07,4.410530194758372e-07,-1.2597088577821614,0.20780473243281447,-1.4201543634158753e-06,3.0895757264531477e-07
z_employees_log,3.7227898420855914e-06,5.031519363644489e-07,7.398937722439881,1.4867954152089837e-13,2.736507036614704e-06,4.7090726475564786e-06
