CompanyID,vagueness,is_hardware,is_serial,employees_log,year_founded,founding_cohort,z_vagueness,z_employees_log,growth,sector_fe,early_funding_musd,founder_credibility
1,61.56354589595345,0,1,1.1256007515258715,2015,≤2016,0.48797090838623314,-1.3929146276210813,1,Biotech/Healthcare,1.592375441521949,1
2,49.999661613679805,0,0,1.1865459809444656,2021,2021+,-0.03391494979645804,-1.3314892787015358,0,Biotech/Healthcare,0.2784805446243827,0
3,61.86075304926359,0,0,2.240162779998927,2016,≤2016,0.5013840666708645,-0.2695722078032889,1,Enterprise Software,1.136485837828045,0
4,31.411046276432806,0,0,2.1578768303540357,2020,2019-20,-0.8728316347876783,-0.3525063966861931,0,Other,1.9039709359352324,0
5,90.25159779864478,0,0,2.0755946770691343,2018,2017-18,1.7826819433086558,-0.43543675930182046,0,Biotech/Healthcare,3.7656639061459756,0
6,24.16794010866928,0,0,3.314424155242702,2020,2019-20,-1.199717876987984,0.8131520748787542,0,Hardware/Robotics,4.491822671116417,0
7,75.8234295453383,1,0,2.604268957143066,2016,≤2016,1.131529027292047,0.09740235588613863,0,FinTech,5.735692349518047,0
8,36.838946817435975,0,0,1.3056131146321999,2015,≤2016,-0.6278668407077113,-1.2114841478423863,0,Enterprise Software,2.4940152721752447,0
9,43.27478644229819,0,0,1.3244916869494017,2018,2017-18,-0.3374130793451841,-1.1924568523058927,0,AI/ML Software,1.7365289328090634,0
10,72.0395657759638,0,0,0.5351704674882456,2020,2019-20,0.9607607160288926,-1.9879962534622109,0,AI/ML Software,6.279194297828681,0
11,84.73196668199094,0,0,3.3797131798019318,2019,2019-20,1.533577286789177,0.8789554388569676,0,FinTech,2.3090183112012217,0
12,19.64452683785951,1,0,2.2753851620634187,2019,2019-20,-1.4038625535626426,-0.23407234786792108,0,Biotech/Healthcare,7.0880688324930095,0
13,59.7164235962852,0,1,3.254679139807135,2017,2017-18,0.40460903939827964,0.7529363950898176,0,AI/ML Software,3.3789009751918866,1
14,53.789069824925996,0,0,5.640071117493788,2019,2019-20,0.137103585849241,3.1571202161549667,0,AI/ML Software,2.0283755320032277,0
15,24.901316313785006,0,0,1.6011485350055188,2020,2019-20,-1.1666201166822805,-0.9136205334513113,0,Biotech/Healthcare,4.966831012072523,0
16,63.535454241843404,0,1,2.8269740849523433,2015,≤2016,0.5769644553840978,0.32186192905304584,0,Other,2.632249044460146,1
17,26.576237332913756,1,0,3.943196986880234,2019,2019-20,-1.091029807049368,1.4468783064955402,0,AI/ML Software,2.5785766119614606,0
18,51.54030943591819,0,0,2.0110076164423707,2017,2017-18,0.03561552035003892,-0.5005326293565224,0,Hardware/Robotics,0.8794934360210546,0
19,38.15336683103037,1,1,2.160779708654574,2018,2017-18,-0.5685461833868184,-0.3495806498446013,0,FinTech,1.6596263748082496,1
20,43.81079245774021,0,1,3.0303228814368888,2019,2019-20,-0.31322276815460526,0.5268126839454709,1,Hardware/Robotics,1.2244074707537953,1
21,41.83952466696299,0,0,5.042896445743636,2017,2017-18,-0.40218740647035606,2.555241071091369,0,Enterprise Software,2.5899363753803084,0
22,69.30503377574219,0,0,3.1363688547798483,2019,2019-20,0.8373494517142439,0.6336940752577294,0,FinTech,2.420499696649587,0
23,26.002611341832004,0,0,1.6572023921914298,2021,2021+,-1.1169179329873367,-0.8571250904317714,0,FinTech,1.6841102712613192,0
24,57.63284013658531,0,1,1.7781214651424173,2019,2019-20,0.31057551956899426,-0.7352534309450601,0,FinTech,1.7506930538651178,1
25,39.17953008916769,0,1,2.0115935668528593,2020,2019-20,-0.522234746888835,-0.4999420628961584,0,Other,3.1272053776294815,1
26,42.893773821903494,0,0,0.6804178605422915,2015,≤2016,-0.3546084346011974,-1.8416046181675025,0,AI/ML Software,0.3450991236671421,0
27,59.67851585411745,0,0,2.3406645888460638,2017,2017-18,0.40289823755436005,-0.16827865727647123,0,Enterprise Software,0.46550156431108014,0
28,35.53947451598155,0,1,2.5074663205937195,2017,2017-18,-0.6865128977483164,-0.00016288068939926216,0,Other,1.6833182199253154,1
29,41.70704254258506,0,0,2.5460560428238046,2016,≤2016,-0.40816641365229644,0.03873084692971653,0,Hardware/Robotics,6.888550797303342,0
30,50.633434962954595,0,0,1.0501234879890502,2016,≤2016,-0.005312333218340565,-1.4689864923506162,0,Biotech/Healthcare,8.394252053479354,0
31,26.510846152403634,0,0,2.845303297353404,2017,2017-18,-1.0939809549098163,0.34033553687922496,0,FinTech,0.4606661043095585,0
32,39.52464769915693,0,0,1.516047862605897,2020,2019-20,-0.5066593575415647,-0.9993916191507586,0,Biotech/Healthcare,46.319818288008115,0
33,56.25140647497485,0,1,2.261063925526914,2015,≤2016,0.24823049134027173,-0.24850640545710737,0,Biotech/Healthcare,0.8212482426839209,1
34,11.593449875168234,0,1,1.7574047584103862,2019,2019-20,-1.7672130599673037,-0.7561333415076852,0,AI/ML Software,0.7442136138587108,1
35,19.302400828250683,0,0,3.654655905388987,2018,2017-18,-1.4193029299770819,1.1560641315830167,0,Hardware/Robotics,0.19497396098808803,0
36,40.66672141999295,0,0,1.8148015765391858,2020,2019-20,-0.45511680407446803,-0.698284357853559,1,Biotech/Healthcare,1.0434149263230712,0
37,56.05532279283414,0,0,3.845605684250839,2019,2019-20,0.23938110317348646,1.3485181908193715,0,FinTech,1.42566220687532,0
38,90.68147633523634,0,1,2.636309025621508,2018,2017-18,1.8020826501565537,0.12969483233539422,1,Enterprise Software,9.318271077003086,1
39,39.845175637842104,0,0,2.919856558158782,2015,≤2016,-0.492193716562377,0.4154761196901753,0,AI/ML Software,4.521302825844284,0
40,16.98036608879889,0,0,2.5832778670002696,2016,≤2016,-1.5240979160862436,0.07624590035182713,0,Enterprise Software,6.036874947162091,0
41,13.90899432166346,0,0,1.6477338090196607,2017,2017-18,-1.662710985134908,-0.8666682660116833,0,Enterprise Software,13.245799195354277,0
42,39.71461270077383,0,0,2.906019339679797,2015,≤2016,-0.498086109533066,0.40152989319704246,0,FinTech,18.630786265241042,0
