Time	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Inventory Adjustment Time[S1]	15.4069
Manufacturing Cycle Time[S1]	9.00648
Minimum Order Processing Time[S1]	1.88971
Safety Stock Coverage[S1]	7.36638
Target Delivery Delay[S1]	0.167091
WIP Adjustment Time[S1]	5.16202
Backlog[S1]	1670.91	1670.91	14903.3	21159.5	13344	25475.7	32097.4	11313.7	34.3523	0.0190814	1.0599e-05	5.88734e-09	3.27019e-12	1.81647e-15	1.00898e-18	5.6045e-22	3.11309e-25	1.7292e-28	9.60506e-32	5.33525e-35	9.44469	63.7729	0.0354234	1.96764e-05	96.607	5030.17	57.4462	1609.89	9404.29	1293.36	2.7917	46.5091	2903.73	2.8101	0.00156091	129.343	2721.76	2116.28	2370.79	4546.11	7609.2	11905.6	4025.62	2.56078	0.00142242	7.90099e-07	4.3887e-10	2.43776e-13	1.35408e-16	7.52141e-20	4.17786e-23	2.32064e-26	1.28903e-29	7.16007e-33	3.97715e-36	2.20916e-39	1.22754e-42	0	0	0	0	0	0	0	0	1379.92	10823.1	8961.64	4390.91	6745.51	14760.5	35318.7	69719.3	85278.3	132309	143114	150692	128665	91959.3	53524.5	11256.2	9.33275	305.543	5345.94	2058.98	5206.56	10367.5	11471	8547.18	7723.75	31939.7	42291.4	14150.8	15.8224	0.00878876	1125.82	0.625349	0.000347358	1558.31	4.91436	0.00272974
Inventory[S1]	92560.9	92560.9	67352.6	49224.6	40950.8	38067.7	38421.9	40321.1	52464.8	75317.9	96658.2	115895	133103	148497	162268	174587	185607	195465	204283	212172	219201	222024	227608	232660	235187	228631	216174	215472	183939	145655	148685	153718	150924	152783	157994	162604	148663	137584	114781	94536.1	69250.6	50720.8	42268.5	56528.1	75803.5	94683.8	112240	128026	142148	154780	166081	176190	185234	193323	200560	207034	212825	218006	222641	226786	230495	233813	236781	239435	241811	240869	208224	148869	117724	93688.1	67294.5	51632.7	46581.6	47961.6	52769.2	59769.9	67247.8	74098.1	79118.9	81553.8	81611.4	110932	147838	164365	169616	177253	165333	135039	108103	97370.5	86587.6	80742.1	80634.7	111014	154902	189666	226070	259676	287054	311031	335084
Inventory Adjustment Time[S2]	1.24391
Manufacturing Cycle Time[S2]	8.56539
Minimum Order Processing Time[S2]	3.98199
Safety Stock Coverage[S2]	6.49612
Target Delivery Delay[S2]	0.985653
WIP Adjustment Time[S2]	16.7195
Backlog[S2]	9856.53	9856.53	38910.9	52812.1	45508	53204.7	51008.1	22113.7	7755.75	2719.05	953.261	334.199	117.165	41.0765	14.4008	5.04872	1.77001	0.62054	0.217552	0.0762707	31.6651	1926.46	675.388	236.781	1413.41	12629.6	9383.2	7013.73	31660.4	29111.2	10423.3	4026.03	9638.63	3694.32	1295.18	632.549	13847.8	13961.5	21621	26237.6	32723.7	33058	20687.4	7252.69	2542.69	891.429	312.522	109.566	38.4122	13.4668	4.72125	1.6552	0.58029	0.203441	0.0713235	0.025005	0.00876639	0.00307337	0.00107748	0.000377749	0.000132433	4.64292e-05	1.62774e-05	5.70662e-06	2.00066e-06	3358.7	31982.6	49621.7	38609.8	38424.2	52107.1	73965.9	104203	110699	142988	132685	113575	63588	24692.2	11538.5	4570.89	1602.49	931.423	15870.1	17866.8	22559.1	37726.5	50117.9	49061	43521.7	62412.8	53621.8	26210	9188.86	3221.48	6316.81	2214.58	776.401	3834.19	1888.19	661.97
