firm_id,sector,high_integration_cost,vagueness,early_funding_musd,later_success,team_size,prior_exit
F001,"Modular (Low i) — ""Lego""",0,0.6126062709141206,4.761898507211728,1,50,1
F002,"Integrated (High i) — ""Battleship""",1,0.4443176228503571,8.835396362114075,1,41,1
F003,"Integrated (High i) — ""Battleship""",1,0.582219542760334,6.047013869949093,0,60,0
F004,"Modular (Low i) — ""Lego""",0,0.38085333060800275,10.029494669021307,1,57,1
F005,"Modular (Low i) — ""Lego""",0,0.4346503076182871,8.227399147335099,1,50,0
F006,"Integrated (High i) — ""Battleship""",1,0.4312871790803008,9.015955995950762,0,41,1
F007,"Modular (Low i) — ""Lego""",0,0.2847488637939729,10.184254400129095,1,22,1
F008,"Integrated (High i) — ""Battleship""",1,0.5876550465414048,8.255665865698704,0,29,1
F009,"Modular (Low i) — ""Lego""",0,0.4155075787635097,9.08996522759546,1,12,1
F010,"Modular (Low i) — ""Lego""",0,0.5022489413709837,7.173544551937044,1,27,1
F011,"Integrated (High i) — ""Battleship""",1,0.5865343986030636,6.467138405119944,1,60,0
F012,"Integrated (High i) — ""Battleship""",1,0.58037561168539,6.457586575906798,1,30,0
F013,"Integrated (High i) — ""Battleship""",1,0.6197693196151015,6.847761570742702,1,11,0
F014,"Integrated (High i) — ""Battleship""",1,0.48227261278830375,8.063843267952269,0,44,1
F015,"Integrated (High i) — ""Battleship""",1,0.4238063038320523,8.241764407503549,1,62,0
F016,"Integrated (High i) — ""Battleship""",1,0.48565072203684817,6.70150877957217,1,57,0
F017,"Integrated (High i) — ""Battleship""",1,0.19627980188755462,9.219311581080074,1,21,1
F018,"Modular (Low i) — ""Lego""",0,0.2395197549638443,10.678295592187965,1,32,1
F019,"Integrated (High i) — ""Battleship""",1,0.26191406977620757,6.430370350358695,1,36,1
F020,"Modular (Low i) — ""Lego""",0,0.3204955710317333,6.889210109554579,0,19,1
F021,"Integrated (High i) — ""Battleship""",1,0.5719593608102186,5.594492588432852,1,21,1
F022,"Modular (Low i) — ""Lego""",0,0.33701377003518906,3.4641179860797493,1,19,0
F023,"Modular (Low i) — ""Lego""",0,0.43193074027290984,8.248494230621013,1,64,1
F024,"Integrated (High i) — ""Battleship""",1,0.7338610936014918,8.821934256465347,1,49,1
F025,"Integrated (High i) — ""Battleship""",1,0.43587248520894334,8.642009462548575,1,55,1
F026,"Integrated (High i) — ""Battleship""",1,0.6327528023240756,6.69912335315166,0,53,0
F027,"Modular (Low i) — ""Lego""",0,0.33194881759822215,11.279641211153656,1,62,1
F028,"Integrated (High i) — ""Battleship""",1,0.46302123958382657,10.066839992149466,0,11,1
F029,"Integrated (High i) — ""Battleship""",1,0.32899603011609535,9.454509771423192,1,57,1
F030,"Modular (Low i) — ""Lego""",0,0.43897404633789877,8.346687839734921,1,8,0
F031,"Modular (Low i) — ""Lego""",0,0.6512554647423312,7.862917035733374,1,33,1
F032,"Modular (Low i) — ""Lego""",0,0.18908232382537726,8.549756904192224,0,40,1
F033,"Modular (Low i) — ""Lego""",0,0.5781962558382543,6.99997519718123,1,26,1
F034,"Integrated (High i) — ""Battleship""",1,0.54279240841981,3.759467115789273,0,13,0
F035,"Integrated (High i) — ""Battleship""",1,0.393053007974577,7.136976585906298,0,16,1
F036,"Modular (Low i) — ""Lego""",0,0.2397095862100782,9.33619470580603,1,54,1
F037,"Integrated (High i) — ""Battleship""",1,0.5129833113884965,7.530847621236218,1,24,0
F038,"Integrated (High i) — ""Battleship""",1,0.4046913123685156,11.141451234801211,1,23,1
F039,"Modular (Low i) — ""Lego""",0,0.5418817180438467,4.850824511150282,1,60,0
F040,"Integrated (High i) — ""Battleship""",1,0.5039333861942197,8.532720980374156,1,13,1
F041,"Modular (Low i) — ""Lego""",0,0.7883202004377647,4.308239249425085,1,59,0
F042,"Integrated (High i) — ""Battleship""",1,0.45691598705485564,9.79299848706441,0,60,1
F043,"Integrated (High i) — ""Battleship""",1,0.3157704513280643,9.077134128390542,0,40,1
F044,"Modular (Low i) — ""Lego""",0,0.5322696142921369,5.098108881201729,1,14,1
F045,"Modular (Low i) — ""Lego""",0,0.5395994031149177,9.206127994270073,1,14,1
F046,"Integrated (High i) — ""Battleship""",1,0.7446537635432786,6.204953123905134,0,22,1
F047,"Modular (Low i) — ""Lego""",0,0.6503200242646241,5.247805540528246,1,39,0
F048,"Integrated (High i) — ""Battleship""",1,0.5642367906469117,4.305576862348435,1,14,0
F049,"Integrated (High i) — ""Battleship""",1,0.7633945204195212,6.252318099206679,1,32,1
F050,"Integrated (High i) — ""Battleship""",1,0.2860226502218869,9.460540530110453,0,11,1
F051,"Integrated (High i) — ""Battleship""",1,0.38484472410504544,6.839785647354201,1,37,0
F052,"Modular (Low i) — ""Lego""",0,0.3332163305470055,7.213484415126297,0,6,0
F053,"Modular (Low i) — ""Lego""",0,0.42983423543196175,9.477578992079026,1,47,1
F054,"Modular (Low i) — ""Lego""",0,0.2521964934398644,10.88176721084482,0,8,1
F055,"Modular (Low i) — ""Lego""",0,0.6143271704265928,5.22564665791174,1,16,0
F056,"Modular (Low i) — ""Lego""",0,0.4599999145222208,4.152713633738076,0,15,0
F057,"Integrated (High i) — ""Battleship""",1,0.23525486698952158,9.692763183501985,1,54,0
F058,"Modular (Low i) — ""Lego""",0,0.3171957653826425,8.13054552724702,1,8,1
F059,"Integrated (High i) — ""Battleship""",1,0.5564324925410351,7.934872198193718,0,30,0
F060,"Integrated (High i) — ""Battleship""",1,0.6508627822209886,8.441441984445555,0,40,1
F061,"Integrated (High i) — ""Battleship""",1,0.8594115605045216,4.893765150575991,0,35,0
F062,"Integrated (High i) — ""Battleship""",1,1.0,5.223163841069443,1,45,0
F063,"Modular (Low i) — ""Lego""",0,0.5745936979896793,11.373225308632797,1,53,1
F064,"Integrated (High i) — ""Battleship""",1,0.32188313839426447,12.123561612324721,1,28,1
F065,"Modular (Low i) — ""Lego""",0,0.11623166946836438,10.495898690932037,1,54,1
F066,"Modular (Low i) — ""Lego""",0,0.5481880632218904,8.217896024443675,1,24,1
F067,"Integrated (High i) — ""Battleship""",1,0.3536706028441413,11.208943704254185,1,64,1
F068,"Modular (Low i) — ""Lego""",0,0.42523569316765664,7.445518539544821,1,35,1
F069,"Modular (Low i) — ""Lego""",0,0.38982257616923455,9.6423507390166,1,49,1
F070,"Modular (Low i) — ""Lego""",0,0.47465764044505065,7.107643638200003,1,57,0
F071,"Integrated (High i) — ""Battleship""",1,0.6918764415417759,6.60498126271087,0,52,0
F072,"Modular (Low i) — ""Lego""",0,0.5282687421401621,7.451218074087213,1,56,1
F073,"Modular (Low i) — ""Lego""",0,0.4714457293330361,4.375576696837795,1,37,0
F074,"Modular (Low i) — ""Lego""",0,0.3135823244913539,5.5134790831493765,1,7,1
F075,"Integrated (High i) — ""Battleship""",1,0.19855706995321576,7.969984136712083,0,34,1
F076,"Modular (Low i) — ""Lego""",0,0.41246457636680045,5.879635851850439,1,15,0
F077,"Modular (Low i) — ""Lego""",0,0.49031914085270234,8.460872228445508,1,58,1
F078,"Modular (Low i) — ""Lego""",0,0.8182273844443789,7.849291728977885,1,19,0
F079,"Integrated (High i) — ""Battleship""",1,0.5234494138651195,9.620502516627445,1,18,1
F080,"Integrated (High i) — ""Battleship""",1,0.6768931119841504,4.0939122551541285,1,19,0
F081,"Integrated (High i) — ""Battleship""",1,0.4101267922629526,7.659030151172034,0,43,0
F082,"Modular (Low i) — ""Lego""",0,0.2867101220449356,8.765200132885782,1,39,1
F083,"Modular (Low i) — ""Lego""",0,0.3262789827981731,9.223082515187532,1,61,1
